playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,Debut_Year,Final_Year,retroID,bbrefID
garcira01,1924,3,5,Cuba,,La Esperanza,2001,12,25,Cuba,La Habana,La Habana,Ramon,Garcia,Ramon,170,70,R,R,1948,1948,garcr101,garcira01
kozaral01,1921,7,5,USA,PA,McKees Rocks,2007,9,6,USA,FL,Palm Beach Gardens,Al,Kozar,Albert Kenneth,173,69,R,R,1948,1950,kozaa101,kozaral01
ashburi01,1927,3,19,USA,NE,Tilden,1997,9,9,USA,NY,New York,Richie,Ashburn,Don Richard,170,70,L,R,1948,1962,ashbr101,ashburi01
berryne01,1922,1,11,USA,MI,Kalamazoo,2016,8,24,USA,MI,Kalamazoo,Neil,Berry,Cornelius John,168,70,R,R,1948,1954,berrn101,berryne01
camparo01,1921,11,19,USA,PA,Philadelphia,1993,6,26,USA,CA,Woodland Hills,Roy,Campanella,Roy,190,69,R,R,1948,1957,campr102,camparo01
jeffcha01,1924,9,6,USA,SC,West Columbia,2007,8,30,USA,FL,Tampa,Hal,Jeffcoat,Harold Bentley,185,70,R,R,1948,1959,jeffh101,jeffcha01
mapescl01,1922,3,13,USA,NE,Sutherland,1996,12,5,USA,OK,Pryor,Cliff,Mapes,Clifford Franklin,205,75,L,R,1948,1952,mapec101,mapescl01
smallro01,1926,6,9,USA,MO,Springfield,2011,10,22,USA,AZ,Sahuarita,Roy,Smalley,Roy Frederick,190,75,R,R,1948,1958,smalr101,smallro01
vicoge01,1923,8,9,USA,CA,San Fernando,1994,1,14,USA,CA,Redondo Beach,Sam,Vico,George Steve,200,76,L,R,1948,1949,vicos101,vicoge01
walkeru01,1926,5,16,USA,NC,Lenoir,1992,12,12,USA,NC,Morganton,Rube,Walker,Albert Bluford,175,72,L,R,1948,1958,walkr101,walkeru01
wardpr01,1927,7,24,USA,MO,Columbia,2013,6,2,USA,NV,Las Vegas,Preston,Ward,Preston Meyer,190,76,L,R,1948,1959,wardp101,wardpr01
blatnjo01,1921,3,10,USA,OH,Bridgeport,2004,1,21,USA,OH,Lansing,Johnny,Blatnik,John Louis,195,72,R,R,1948,1950,blatj101,blatnjo01
delsiji01,1925,11,13,USA,WI,Rudolph,2006,5,4,USA,MO,Chesterfield,Jim,Delsing,James Henry,175,70,L,R,1948,1960,delsj101,delsiji01
halljo01,1924,1,9,USA,OK,Muskogee,1995,1,17,USA,CA,Midwest City,John,Hall,John Sylvester,170,74,R,R,1948,1948,hallj106,halljo01
mainwo01,1922,2,12,USA,CA,Delano,1992,6,27,USA,CA,Whittier,Woody,Main,Forrest Harry,195,75,R,R,1948,1953,mainw102,mainwo01
bicknch01,1928,7,27,USA,NJ,Plainfield,2013,11,24,USA,MT,Livingston,Charlie,Bicknell,Charles Stephen,170,71,R,R,1948,1949,bickc101,bicknch01
